ID,Tipo actual,Activos
23,PC,117
35,LAPTOP,227
38,laptop,31
39,MONITOR,32
50,DISCO DURO,101
54,TABLET,3
56,IMPRESORA,14
57,disco duro,0
63,ACCESS POINT,6
64,FORTINET,1
65,UPS,1
66,SWITCH,3
70,PANTALLA RETRACTIL,1
72,PROYECTOR,1
Total,,538
